name,mass,GeoLocation,KE,crater_diameter,crater_depth
Allan Hills A80117,89.0,"(-76.773610, 159.278610)",17800000.0,173.76188675465207,24.894576257468877
Allan Hills A80118,2.4,"(-76.759720, 159.310280)",479999.99999999994,60.042539003202414,8.602194611398312
Allan Hills A80119,33.7,"(-76.772220, 159.285830)",6740000.0,130.59148984161402,18.709625356617476
Allan Hills A80120,60.1,"(-76.773330, 159.281940)",12020000.0,154.8124575644614,22.17972308211868
Allan Hills A80121,39.1,"(-76.710000, 159.369170)",7820000.000000001,136.4263019390301,19.545569172721542
Allan Hills A80122,49.8,"(-76.696110, 159.343330)",9960000.0,146.48530929021018,20.986706410900663
Allan Hills A80123,27.8,"(-76.689440, 159.368890)",5560000.0,123.4049263446244,17.680018367729502
Allan Hills A80124,12.0,"(-76.696390, 159.329440)",2400000.0,96.38870092696897,13.809448725501639
Allan Hills A80125,139.2,"(-76.771940, 159.285280)",27839999.999999996,198.190677268761,28.394448408315764
Allan Hills A80126,34.5,"(-76.741110, 159.296670)",6900000.000000001,131.49569006931412,18.839168618036386
Allan Hills A80127,47.5,"(-76.689440, 159.256110)",9500000.0,144.46229608533176,20.69687267670657
Allan Hills A80128,138.2,"(-76.688610, 159.256670)",27639999.999999996,197.77087642608535,28.334304240419527
Allan Hills A80129,93.4,"(-76.685280, 159.258330)",18680000.000000004,176.2454601553114,25.250393684227337
Allan Hills A80130,5.3,"(-76.690560, 159.372500)",1060000.0,75.79637851569375,10.859220973257507
Allan Hills A80131,19.8,"(-76.689440, 159.369170)",3960000.0000000005,111.68327870564178,16.0006774232803
Allan Hills A80132,152.8,"(-76.761110, 159.344170)",30560000.000000004,203.69933028790837,29.183663956226642
Allan Hills A80133,3.6,"(-76.690830, 159.372500)",720000.0,67.64683595337881,9.691649576731994
Allan Hills A81001,52.9,"(-76.701110, 159.403050)",10580000.0,149.1101598609456,21.362764382634698
Allan Hills A81002,14.0,"(-76.660110, 159.327830)",2800000.0,100.85912078041383,14.4499183360879
Allan Hills A81003,10.1,"(-76.705830, 159.250830)",2020000.0,91.6241246821233,13.12683581839553
Allan Hills A81004,4.7,"(-76.818380, 158.173400)",940000.0,73.16492010474326,10.482216307255797
Allan Hills A81005,31.4,"(-76.830180, 158.258930)",6279999.999999999,127.90453176456758,18.32466934584336
Allan Hills A81006,254.9,"(-76.691940, 159.268050)",50980000.0,236.78396643847677,33.923644702199326
Allan Hills A81007,163.5,"(-76.689720, 159.249170)",32700000.0,207.7947137466433,29.77040272685825
Allan Hills A81008,43.8,"(-76.694440, 159.391110)",8760000.0,141.05758967973046,20.209086057721404
Allan Hills A81009,229.0,"(-76.697780, 159.303890)",45800000.0,229.43862854418396,32.871290369718224
Allan Hills A81010,219.1,"(-76.688890, 159.378890)",43820000.0,226.47582267491194,32.44681410495014
Allan Hills A81011,405.7,"(-76.726110, 159.410280)",81140000.0,271.463857070254,38.892174902107186
Allan Hills A81012,36.7,"(-76.705280, 159.305000)",7340000.000000001,133.90821229988916,19.184806661934303
Allan Hills A81013,17727.0,"(-76.747560, 158.843380)",3545400000.0,824.4466319127141,118.11709651463569
Allan Hills A81014,188.2,"(-76.711390, 159.358890)",37639999.99999999,216.57311976292462,31.028070343577358
Allan Hills A81015,5489.0,"(-76.713670, 158.781260)",1097800000.0,584.0148386972247,83.67083374255664
Allan Hills A81016,3850.2,"(-76.732940, 158.806980)",770039999.9999999,526.1742105837366,75.38410323885152
Allan Hills A81017,1434.4,"(-76.773610, 159.277500)",286880000.0,393.5642583781419,56.38529613943968
Allan Hills A81018,2236.9,"(-76.826010, 158.194120)",447380000.0,448.5077777986282,64.2569627034562
Allan Hills A81019,1051.2,"(-76.827430, 158.211170)",210240000.00000003,359.1836709640497,51.45964661328559
Allan Hills A81020,1352.5,"(-76.693330, 159.076670)",270500000.0,386.8177503950246,55.41873517147275
Allan Hills A81021,695.1,"(-76.830770, 158.230570)",139020000.0,318.04240597949155,45.56540606597295
Allan Hills A81022,912.5,"(-76.828510, 158.225220)",182500000.0,344.5429839558943,49.36209975768032
Allan Hills A81023,418.3,"(-76.830050, 158.221640)",83660000.0,273.9166954329625,39.24358897114242
Allan Hills A81024,797.7,"(-76.678440, 159.266140)",159540000.00000003,331.18445716336834,47.44824586178232
Allan Hills A81025,379.0,"(-76.693890, 159.373060)",75800000.0,266.0827462825693,38.12123211738101
Allan Hills A81026,515.5,"(-76.681390, 159.346670)",103099999.99999999,291.27645101441686,41.73069225486621
Allan Hills A81027,3835.3,"(-76.690000, 159.263050)",767060000.0,525.5745276869355,75.29818766850673
Allan Hills A81028,80.09999999999998,"(-76.690000, 159.263050)",16019999.999999996,168.460174278542,24.135008736669256
Allan Hills A81029,153.0,"(-76.689720, 159.277500)",30600000.0,203.77770766689557,29.194892952840913
Allan Hills A81030,1851.6,"(-76.701390, 159.388610)",370320000.0,424.25263267533916,60.78196843868813
Allan Hills A81031,1594.9,"(-76.705000, 159.379440)",318980000.0,406.0344030829942,58.17187301250823
Allan Hills A81032,726.8,"(-76.698060, 159.387500)",145360000.0,322.24118819257393,46.16695860401412
Allan Hills A81033,252.4,"(-76.721810, 158.758190)",50480000.0,236.09859392970137,33.82545252379271
