name,mass,GeoLocation
Ekh Khera,840.0,"(28.266670, 78.783330)"
El Idrissia,10000.0,"(34.416670, 3.250000)"
El Paso de Aguila,17226.0,"(25.370000, -97.370000)"
El Tigre,5000.0,"(19.967220, -103.051670)"
Elbert,680.5,"(39.246670, -104.588170)"
Elbogen,107000.0,"(50.183330, 12.733330)"
Elenovka,54640.0,"(47.833330, 37.666670)"
Ellemeet,1470.0,"(51.750000, 4.000000)"
Emmaville,127.0,"(-29.466670, 151.616670)"
Enshi,8000.0,"(30.300000, 109.500000)"
Ensisheim,127000.0,"(47.866670, 7.350000)"
Épinal,277.0,"(48.183330, 6.466670)"
Erakot,113.0,"(19.033330, 81.891670)"
Erevan,107.2,"(40.300000, 44.500000)"
Ergheo,20000.0,"(1.166670, 44.166670)"
Erxleben,2250.0,"(52.216670, 11.250000)"
Esnandes,1500.0,"(46.250000, -1.100000)"
Essebi,500.0,"(2.883330, 30.833330)"
Estherville,320000.0,"(43.416670, -94.833330)"
Farmington,89400.0,"(39.750000, -97.033330)"
Farmville,56000.0,"(35.550000, -77.533330)"
Favars,1500.0,"(44.383330, 2.816670)"
Fayetteville,2360.0,"(36.050000, -94.166670)"
Feid Chair,380.0,"(36.883330, 8.450000)"
Felix,3200.0,"(32.533330, -87.166670)"
Fenghsien-Ku,82.0,"(34.600000, 116.750000)"
Ferguson,220.0,"(36.100000, -81.416670)"
Fermo,10200.0,"(43.181110, 13.753330)"
Fisher,17600.0,"(47.816670, -96.850000)"
Florence,3640.0,"(30.833330, -97.766670)"
Forest City,152000.0,"(43.250000, -93.666670)"
Forest Vale,26000.0,"(-33.350000, 146.858330)"
Forksville,6067.0,"(36.783330, -78.083330)"
Forsbach,240.0,"(50.950000, 7.316670)"
Forsyth,16300.0,"(33.016670, -83.966670)"
Frankfort (stone),650.0,"(34.483330, -87.833330)"
Fuhe,23000.0,"(31.475560, 113.566940)"
Fukutomi,11620.0,"(33.183330, 130.200000)"
Futtehpur,4000.0,"(25.950000, 80.816670)"
Fuyang,2500.0,"(32.900000, 115.900000)"
Galapian,132.7,"(44.300000, 0.400000)"
Galim (a),36.1,"(7.050000, 12.433330)"
Galim (b),28.0,"(7.050000, 12.433330)"
Galkiv,5000.0,"(51.683330, 30.783330)"
Gambat,6400.0,"(27.350000, 68.533330)"
Garhi Yasin,380.0,"(27.883330, 68.533330)"
Garland,102.0,"(41.683330, -112.133330)"
Gashua,4162.0,"(12.850000, 11.033330)"
Geidam,725.0,"(12.916670, 11.916670)"
Gifu,14290.0,"(35.533330, 136.883330)"
Girgenti,18000.0,"(37.316670, 13.566670)"
Git-Git,480.0,"(9.600000, 9.916670)"
Glanerbrug,670.0,"(52.200000, 6.866670)"
Glanggang,1303.0,"(-7.250000, 107.700000)"
Glasatovo,152000.0,"(57.350000, 37.616670)"
Glatton,767.0,"(52.459720, -0.300000)"
Gnadenfrei,1750.0,"(50.666670, 16.766670)"
Gopalpur,1600.0,"(24.233330, 89.050000)"
Gorlovka,3618.0,"(48.283330, 38.083330)"
Granes,9000.0,"(42.900000, 2.250000)"
Grefsheim,45.5,"(60.666670, 11.000000)"
Grimsby,215.0,"(43.200000, -79.616670)"
Grosnaja,3500.0,"(43.666670, 45.383330)"
Gross-Divina,10500.0,"(49.266670, 18.716670)"
Grossliebenthal,8000.0,"(46.350000, 30.583330)"
Grüneberg,1000.0,"(51.933330, 15.500000)"
Grzempach,690.0,"(52.866670, 16.633330)"
Gualeguaychú,22000.0,"(-33.000000, -58.616670)"
Guangmingshan,2910.0,"(39.804170, 122.763890)"
Guangrao,1900.0,"(37.100000, 118.400000)"
Guareña,39000.0,"(38.733330, -6.016670)"
Guêa,1915.0,"(43.766670, 20.233330)"
Guibga,288.0,"(13.500000, -0.683330)"
Guidder,968.0,"(9.916670, 13.983330)"
Gujargaon,2449.0,"(22.983330, 76.050000)"
Gujba,100000.0,"(11.491670, 11.658330)"
Gumoschnik,5700.0,"(42.900000, 24.700000)"
Gurram Konda,28.0,"(13.783330, 78.566670)"
Gursum,34650.0,"(9.366670, 42.416670)"
Gütersloh,1000.0,"(51.916670, 8.383330)"
Gyokukei,1320.0,"(35.000000, 127.500000)"
Hachi-oji,0.2,"(35.650000, 139.333330)"
Hainaut,9000.0,"(50.316670, 3.733330)"
Hallingeberg,1456.0,"(57.816670, 16.233330)"
Hamlet,3710.0,"(41.383330, -86.600000)"
Haraiya,1000.0,"(26.800000, 82.533330)"
Haripura,315.0,"(28.383330, 75.783330)"
Harleton,8360.0,"(32.675000, -94.511670)"
Harrison County,680.0,"(38.250000, -86.166670)"
Hashima,1110.6,"(35.294500, 136.700330)"
Hassi-Jekna,1250.0,"(28.950000, 0.816670)"
Hatford,29000.0,"(51.650000, -1.516670)"
Haverö,1544.0,"(60.245560, 22.061940)"
Hedeskoga,3500.0,"(55.466670, 13.783330)"
Hedjaz,6100.0,"(27.333330, 35.666670)"
Heredia,1000.0,"(10.000000, -84.100000)"
Hessle,20000.0,"(59.850000, 17.666670)"
Higashi-koen,750.0,"(33.600000, 130.433330)"
High Possil,4500.0,"(55.900000, -4.233330)"
Hiroshima,414.0,"(34.450000, 132.383330)"
Hoima,167.7,"(1.345000, 31.472780)"
Hökmark,305.5,"(64.433330, 21.200000)"
Holbrook,220000.0,"(34.900000, -110.183330)"
Holetta,1415.0,"(9.066670, 38.416670)"
Homestead,230000.0,"(41.800000, -91.866670)"
Honolulu,2420.0,"(21.300000, -157.866670)"
Hotse,180.0,"(35.666670, 115.500000)"
Hoxie,266.1,"(39.350000, -100.450000)"
Hraschina,49000.0,"(46.100000, 16.333330)"
Huaxi,1600.0,"(26.464690, 106.632410)"
Hungen,112.0,"(50.300000, 8.916670)"
Hvittis,14000.0,"(61.183330, 22.683330)"
Ibbenbüren,2000.0,"(52.283330, 7.700000)"
Ibitira,2500.0,"(-20.000000, -45.000000)"
Ichkala,3973.0,"(58.200000, 82.933330)"
Idutywa,3457.0,"(-32.100000, 28.333330)"
Iguaracu,1200.0,"(-23.200000, -51.833330)"
Ijopega,7330.0,"(-6.033330, 145.366670)"
Indarch,27000.0,"(39.750000, 46.666670)"
Independence,880.0,"(39.083330, -94.400000)"
Inner Mongolia,3000.0,"(41.000000, 112.000000)"
Innisfree,4576.0,"(53.415000, -111.337500)"
Ipiranga,7000.0,"(-25.500000, -54.500000)"
Ishinga,1300.0,"(-8.933330, 33.800000)"
Isthilart,3050.0,"(-31.183330, -57.950000)"
Itapicuru-Mirim,2024.0,"(-3.400000, -44.333330)"
Itqiy,4720.0,"(26.590830, -12.952170)"
Ivuna,704.5,"(-8.416670, 32.433330)"
Jackalsfontein,48000.0,"(-32.500000, 21.900000)"
Jajh deh Kot Lalu,973.0,"(26.750000, 68.416670)"
Jalandhar,1967.0,"(31.000000, 75.000000)"
Jamkheir,22.0,"(18.750000, 75.333330)"
Jartai,20500.0,"(39.700000, 105.800000)"
Jelica,34000.0,"(43.833330, 20.441670)"
Jesenice,3667.0,"(46.421370, 14.052170)"
Jhung,5900.0,"(31.300000, 72.383330)"
Jiange,222.0,"(31.916670, 104.916670)"
Jianshi,600000.0,"(30.808330, 109.500000)"
Jilin,4000000.0,"(44.050000, 126.166670)"
Jodiya,100.0,"(22.680000, 70.313330)"
Jodzie,30.0,"(55.700000, 24.400000)"
Johnstown,40300.0,"(40.350000, -104.900000)"
Jolomba,483.0,"(-11.850000, 15.833330)"
Jonzac,5000.0,"(45.433330, -0.450000)"
Juancheng,100000.0,"(35.500000, 115.416670)"
Judesegeri,680.0,"(12.850000, 76.800000)"
Jumapalo,32490.0,"(-7.716670, 111.200000)"
Junan,950.0,"(35.200000, 118.800000)"
Juromenha,25250.0,"(38.740280, -7.270000)"
Juvinas,91000.0,"(44.716670, 4.300000)"
Kaba,3000.0,"(47.350000, 21.300000)"
Kabo,13400.0,"(11.850000, 8.216670)"
Kadonah,89.0,"(27.083330, 78.333330)"
Kaee,230.0,"(27.250000, 79.966670)"
Kagarlyk,1900.0,"(49.866670, 30.833330)"
Kaidun,2000.0,"(15.000000, 48.300000)"
Kainsaz,200000.0,"(55.433330, 53.250000)"
Kakangari,350.0,"(12.383330, 78.516670)"
Kakowa,577.0,"(45.133330, 21.666670)"
Kalaba,950.0,"(-6.833330, 29.500000)"
Kalumbi,4500.0,"(17.833330, 73.983330)"
Kamalpur,2770.0,"(26.033330, 81.466670)"
Kamiomi,448.0,"(36.041670, 139.956670)"
Kamsagar,1293.0,"(14.183330, 75.800000)"
Kandahar (Afghanistan),299.0,"(31.600000, 65.783330)"
Kangean,1630.0,"(-7.000000, 115.500000)"
Kangra Valley,400.0,"(32.083330, 76.300000)"
Kapoeta,11355.0,"(4.700000, 33.633330)"
Kaprada,1600.0,"(20.339160, 73.223290)"
Kaptal-Aryk,3500.0,"(42.450000, 73.366670)"
Karakol,3000.0,"(47.216670, 81.016670)"
Karatu,2220.0,"(-3.500000, 35.583330)"
Karewar,180.0,"(12.900000, 7.150000)"
Karkh,22000.0,"(27.800000, 67.166670)"
Karloowala,2950.0,"(31.583330, 71.600000)"
Karoonda,41730.0,"(-35.083330, 139.916670)"
Kasamatsu,710.0,"(35.366670, 136.766670)"
Kasauli,16820.0,"(29.583330, 77.583330)"
Katagum,1500.0,"(11.333330, 10.083330)"
Kavarpura,6800.0,"(25.143330, 75.813330)"
Kayakent,85000.0,"(39.263330, 31.780000)"
Kediri,3300.0,"(-7.750000, 112.016670)"
Kemer,5760.0,"(36.541940, 29.418220)"
Kendleton,6937.0,"(29.450000, -96.000000)"
Kendrapara,6669.2,"(20.462500, 86.702780)"
Kerilis,5000.0,"(48.400000, -3.300000)"
Kernouve,80000.0,"(48.116670, -3.083330)"
Kesen,135000.0,"(38.983330, 141.616670)"
Khairpur,13600.0,"(29.533330, 72.300000)"
Khanpur,3698.0,"(25.550000, 83.116670)"
Kharkov,1500.0,"(50.625000, 35.075000)"
Kheragur,450.0,"(26.950000, 77.883330)"
Khetri,100.0,"(28.016670, 75.816670)"
Khmelevka,6109.0,"(56.750000, 75.333330)"
Khohar,9700.0,"(25.100000, 81.533330)"
Khor Temiki,3200.0,"(16.000000, 36.000000)"
Kidairat,100000.0,"(14.000000, 28.000000)"
Kiel,737.6,"(54.400000, 10.150000)"
Kiffa,1500.0,"(16.583330, -11.333330)"
Kijima (1906),331.0,"(36.850000, 138.383330)"
Kikino,195.0,"(55.000000, 34.000000)"
Kilabo,19000.0,"(12.766670, 9.800000)"
Kilbourn,772.0,"(43.583330, -89.600000)"
Killeter,140.0,"(54.666670, -7.666670)"
Kingai,67.4,"(11.633330, 24.683330)"
Kirbyville,97.7,"(30.750000, -95.950000)"
Kisvarsány,1550.0,"(48.166670, 22.308330)"
Kitchener,202.6,"(43.383330, -80.383330)"
Klein-Wenden,3250.0,"(51.600000, 10.800000)"
Knyahinya,500000.0,"(48.900000, 22.400000)"
Kobe,136.0,"(34.733330, 135.166670)"
Kokubunji,11510.0,"(34.300000, 133.950000)"
Komagome,238.0,"(35.733330, 139.750000)"
Konovo,90.0,"(42.516670, 26.166670)"
Košice,4300.0,"(48.763670, 21.176330)"
Krähenberg,16500.0,"(49.326940, 7.464720)"
Krasnoi-Ugol,2440.0,"(54.033330, 40.900000)"
Krasnyi Klyuch,4000.0,"(54.333330, 56.083330)"
Krutikha,845.2,"(56.800000, 77.000000)"
Krymka,50000.0,"(47.833330, 30.766670)"
Kukschin,2250.0,"(51.150000, 31.700000)"
Kulak,453.6,"(30.731110, 66.802220)"
Kuleschovka,6000.0,"(50.750000, 33.500000)"
Kulp,3719.0,"(41.116670, 45.000000)"
Kunashak,200000.0,"(55.783330, 61.366670)"
Kunya-Urgench,1100000.0,"(42.250000, 59.200000)"
Kushiike,4460.0,"(37.050000, 138.383330)"
Kusiali,5.0,"(29.683330, 78.383330)"
Kutais,23.0,"(44.516670, 39.300000)"
Kuttippuram,45000.0,"(10.833330, 76.033330)"
Kuznetzovo,4047.0,"(55.200000, 75.333330)"
Kyushu,45000.0,"(32.033330, 130.633330)"
La Bécasse,2800.0,"(47.083330, 1.750000)"
La Charca,399.0,"(20.666670, -101.283330)"
La Colina,2000.0,"(-37.333330, -61.533330)"
La Criolla,45000.0,"(-31.233330, -58.166670)"
Laborel,3833.0,"(44.283330, 5.583330)"
Lahrauli,900.0,"(26.783330, 82.716670)"
L'Aigle,37000.0,"(48.766670, 0.633330)"
Lakangaon,212.5,"(21.866670, 76.033330)"
Lalitpur,372.0,"(24.450000, 78.566670)"
Lancé,51700.0,"(47.700000, 1.066670)"
Lancon,7000.0,"(43.750000, 5.116670)"
Långhalsen,2300.0,"(58.850000, 16.733330)"
Lanxi,1282.0,"(46.241670, 126.196110)"
Lanzenkirchen,7000.0,"(47.750000, 16.233330)"
Laochenzhen,14250.0,"(33.133330, 115.166670)"
Launton,1060.0,"(51.900000, -1.116670)"
Lavrentievka,800.0,"(52.450000, 51.566670)"
Le Pressoir,3000.0,"(47.166670, 0.433330)"
Le Teilleul,780.0,"(48.533330, -0.866670)"
Leedey,51500.0,"(35.883330, -99.333330)"
Leeuwfontein,460.0,"(-25.666670, 28.366670)"
Leighlinbridge,271.4,"(52.666670, -6.966670)"
Leighton,877.0,"(34.583330, -87.500000)"
Leonovka,700.0,"(52.266670, 32.850000)"
Les Ormes,125.0,"(48.350000, 3.250000)"
Lesves,2000.0,"(50.366670, 4.733330)"
Lichtenberg,4000.0,"(-26.150000, 26.183330)"
Lillaverke,6862.0,"(56.650000, 15.866670)"
Limerick,50000.0,"(52.566670, -8.783330)"
Linum,1862.0,"(52.750000, 12.900000)"
Lishui,498.0,"(31.633330, 118.983330)"
Lissa,12800.0,"(50.200000, 14.850000)"
Little Piney,491.0,"(37.916670, -92.083330)"
Lixna,5213.0,"(56.000000, 26.433330)"
Lodran,1000.0,"(29.533330, 71.800000)"
Lohawat,40000.0,"(26.965560, 72.626670)"
Lorton,329.7,"(38.700660, -77.211630)"
Los Martinez,25.0,"(38.000000, -0.833330)"
