name,mass,GeoLocation,KE,crater_diameter,crater_depth
Queen Alexandra Range 93334,9.2,"(-84.565320, 162.070430)",1840000.0,48.360430417955854,6.928518361358019
Queen Alexandra Range 93335,4.8,"(-84.573350, 162.500080)",959999.9999999999,39.93863386790763,5.721941589225619
Queen Alexandra Range 93336,1.9,"(-84.605510, 162.128330)",380000.0,30.410362111329867,4.356841956180447
Queen Alexandra Range 93337,9.9,"(-84.603620, 162.169630)",1980000.0000000002,49.41473472033068,7.0795667836803835
Queen Alexandra Range 93338,1.7,"(-84.576280, 162.077980)",340000.0,29.43168896926809,4.216629084294483
Queen Alexandra Range 93339,4.1,"(-84.599940, 162.187850)",819999.9999999999,38.12939283925142,5.462734638856696
Queen Alexandra Range 93340,2.9,"(-84.590880, 162.246050)",580000.0,34.43748354477922,4.933800940083793
Queen Alexandra Range 93341,7.5,"(-84.599140, 162.195790)",1500000.0,45.540277751168674,6.524479783438065
Queen Alexandra Range 93342,11.1,"(-84.605960, 162.123740)",2220000.0,51.105735810506125,7.3218336948947815
Queen Alexandra Range 93343,51.2,"(-84.579320, 162.613770)",10240000.0,80.11917211726242,11.47854041648788
Queen Alexandra Range 93344,53.6,"(-84.577070, 162.060890)",10720000.0,81.20588843870303,11.63423245482617
Queen Alexandra Range 93345,10.0,"(-84.596940, 162.211430)",2000000.0,49.56101105530659,7.100523550689149
Queen Alexandra Range 93346,4.5,"(-84.600380, 162.184970)",899999.9999999999,39.18771652461475,5.614358911488838
Queen Alexandra Range 93347,5.5,"(-84.599180, 162.195990)",1100000.0,41.570076571917745,5.95567566959974
Queen Alexandra Range 93348,6.5,"(-84.605800, 162.123270)",1300000.0,43.6634427459376,6.255588756567576
Queen Alexandra Range 93349,6.5,"(-84.590710, 162.247300)",1300000.0,43.6634427459376,6.255588756567576
Queen Alexandra Range 93350,0.5,"(-84.000000, 168.000000)",100000.0,20.535592404766902,2.942100138648969
Queen Alexandra Range 93351,4.7,"(-84.605120, 162.132950)",940000.0,39.69210554499375,5.68662188679242
Queen Alexandra Range 93352,19.5,"(-84.000000, 168.000000)",3900000.0,60.31694498755334,8.641508299978224
Queen Alexandra Range 93353,28.4,"(-84.000000, 168.000000)",5680000.0,67.36915208355752,9.651866270957374
Queen Alexandra Range 93354,1.3,"(-84.000000, 168.000000)",260000.0,27.19887226277088,3.8967371516790745
