name,mass,GeoLocation,KE,crater_diameter,crater_depth
Yamato 791593,0.86,"(-71.500000, 35.666670)",172000.0,27.13717225029524,3.887897493602442
Yamato 791594,0.78,"(-71.500000, 35.666670)",156000.0,26.36899752381122,3.777842379303882
Yamato 791595,5.84,"(-71.500000, 35.666670)",1168000.0,47.66840440519284,6.8293729465110555
Yamato 791596,1.92,"(-71.500000, 35.666670)",383999.99999999994,34.36746413686021,4.9237693760711165
Yamato 791597,147.99,"(-71.500000, 35.666670)",29598000.000000004,123.33715796922667,17.670309305398902
Yamato 791598,8.16,"(-71.500000, 35.666670)",1632000.0000000002,52.59647907288875,7.535410000486426
Yamato 791599,8.55,"(-71.500000, 35.666670)",1710000.0,53.32364532690517,7.639589899200521
Yamato 791600,0.74,"(-71.500000, 35.666670)",148000.0,25.963883127747305,3.7198023141654804
Yamato 791601,2.06,"(-71.500000, 35.666670)",412000.00000000006,35.086249415490194,5.026748546393237
Yamato 791602,3.35,"(-71.500000, 35.666670)",670000.0,40.480351463501016,5.799552567360046
Yamato 791603,5.09,"(-71.500000, 35.666670)",1018000.0,45.779842749339245,6.5588018619269945
Yamato 791604,297.44,"(-71.500000, 35.666670)",59488000.0,151.44514390279562,21.697293659310223
Yamato 791605,112.63,"(-71.500000, 35.666670)",22526000.0,113.82038831161005,16.306857558924584
Yamato 791606,182.4,"(-71.500000, 35.666670)",36480000.0,131.1583668959736,18.790840888526898
Yamato 791607,55.63,"(-71.500000, 35.666670)",11126000.000000002,92.49622134629425,13.251779655709768
Yamato 791608,19.77,"(-71.500000, 35.666670)",3954000.0,68.23138049092634,9.775396299547054
Yamato 791609,18.9,"(-71.500000, 35.666670)",3780000.0,67.33424787272813,9.646865602776174
Yamato 791610,22.61,"(-71.500000, 35.666670)",4522000.0,70.97875742144687,10.16900841888037
Yamato 791611,14.85,"(-71.500000, 35.666670)",2970000.0,62.72394232408317,8.98635480150346
Yamato 791612,15.97,"(-71.500000, 35.666670)",3194000.0000000005,64.07971516249793,9.180594119135742
Yamato 791613,15.5,"(-71.500000, 35.666670)",3100000.0,63.51921894554906,9.100292759180101
Yamato 791614,21.47,"(-71.500000, 35.666670)",4294000.0,69.90695748952126,10.015453426836881
Yamato 791615,18.22,"(-71.500000, 35.666670)",3644000.0,66.61252146218058,9.543465061380267
Yamato 791616,7.29,"(-71.500000, 35.666670)",1458000.0,50.88113176097092,7.289655046611656
Yamato 791617,8.93,"(-71.500000, 35.666670)",1786000.0,54.00997930129179,7.7379198251847185
Yamato 791618,6.7,"(-71.500000, 35.666670)",1340000.0,49.63376227246333,7.110946496463728
Yamato 791619,4.01,"(-71.500000, 35.666670)",801999.9999999999,42.678913691215214,6.114536917822944
Yamato 791620,5.86,"(-71.500000, 35.666670)",1172000.0000000002,47.71635771031872,6.836243136709551
Yamato 791621,2.44,"(-71.500000, 35.666670)",488000.0,36.877370339571144,5.2833594595438305
Yamato 791622,1.91,"(-71.500000, 35.666670)",382000.0,34.31472399727526,4.916213384068216
Yamato 791623,1.73,"(-71.500000, 35.666670)",346000.0,33.33020276542677,4.7751626660937045
Yamato 791624,1.07,"(-71.500000, 35.666670)",214000.0,28.938123502753076,4.145916781535245
Yamato 791625,1.4,"(-71.500000, 35.666670)",280000.0,31.318781152588382,4.486989639994898
Yamato 791626,1.32,"(-71.500000, 35.666670)",264000.0,30.781472395051345,4.4100103087495
Yamato 791627,1.82,"(-71.500000, 35.666670)",364000.0,33.83105895671028,4.846919498853803
Yamato 791628,4.95,"(-71.500000, 35.666670)",990000.0000000001,45.40586836803902,6.505223174865639
Yamato 791629,128.02,"(-71.500000, 35.666670)",25604000.000000004,118.1895296945011,16.932817171630806
Yamato 791630,2243.0,"(-71.500000, 35.666670)",448600000.0,274.3515929430055,39.30589601344127
